area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",0.14301253597179603,0.1439996702933148,0.015773,True
V2,24c+32,"38,28",0.05567051883769677,0.05572813750005008,0.039852,True
V4,24c+32,"38,28",0.09860671816511428,0.09892818945058228,0.01233,True
1,24c+32,"38,28",0.02570293082224718,0.0257085932005613,-0.127009,True
3,24c+32,"38,28",0.06427383008378046,0.06436255786228032,-0.000506,True
MT,24c+32,"38,28",0.11883133322718302,0.11939545509720845,0.03625,True
V6,24c+32,"38,28",0.4624109353463987,0.5003736151936116,0.217226,True
DP,24c+32,"38,28",-0.07578777072711682,-0.0759333757690221,-0.259572,True
TEO,24c+32,"38,28",0.18926185344743024,0.19157148884627254,0.072362,True
8m,24c+32,"38,28",0.5573860593171387,0.629033083738976,0.165189,True
F4,24c+32,"38,28",0.2225298078101907,0.22631614920983334,0.135711,True
5,24c+32,"38,28",0.2000801216148453,0.20281601546287795,-0.164674,True
2,24c+32,"38,28",0.37701936258961743,0.3965805606768959,-0.059867,True
8l,24c+32,"38,28",0.0842921947183686,0.08449268704064179,0.064032,True
F1,24c+32,"38,28",-0.011705193543183301,-0.011705728169393727,0.014027,True
STPc,24c+32,"38,28",0.4366238004028803,0.4680517231822838,0.021164,True
7A,24c+32,"38,28",-0.1879537479638208,-0.19021513364956782,-0.022945,True
10,24c+32,"38,28",0.4291863276332467,0.4588988606750426,-0.259452,True
F3,24c+32,"38,28",0.6685705561515243,0.8081538182846801,0.073127,True
TEpd,24c+32,"38,28",0.09979006246602168,0.10012329410953658,0.111161,True
46d,24c+32,"38,28",0.46580350467247084,0.5046975491983565,0.036685,True
9/46v,24c+32,"38,28",0.626335251833347,0.7353627253294025,0.097202,True
PBr,24c+32,"38,28",0.7010198421980975,0.8693030240125951,0.00353,True
9/46d,24c+32,"38,28",0.617434691412089,0.7208486346047439,0.079916,True
F5,24c+32,"38,28",0.33805263657924384,0.35189226916645694,0.149549,True
7m,24c+32,"38,28",0.48612994089579764,0.5309801173306161,0.047937,True
25,24c+32,"38,28",0.840095101342144,1.2214966398249119,0.142877,True
LIP,24c+32,"38,28",-0.1630149661461408,-0.16448241568793887,0.037658,True
32,24c+32,"38,28",0.921489361414225,1.5988108671966927,0.704386,False
STPi,24c+32,"38,28",0.6692603604759634,0.8094022155349384,0.059489,True
9,24c+32,"38,28",0.5716688513472397,0.6499983441062558,0.145686,True
45A,24c+32,"38,28",0.14683311391161583,0.14790221711575752,-0.163953,True
8B,24c+32,"38,28",0.41324269340123787,0.4395154190797289,0.060359,True
7B,24c+32,"38,28",0.5226669604010549,0.5800021060443188,-0.018539,True
F2,24c+32,"38,28",0.1502683806847069,0.15141500549639125,-0.00053,True
F7,24c+32,"38,28",0.44575046405043184,0.4793844033880556,-0.103096,True
ProM,24c+32,"38,28",0.07265428978902323,0.07278253496572373,-0.007453,True
STPr,24c+32,"38,28",-0.03436549975698018,-0.03437903776059473,0.079456,True
24c,24c+32,"38,28",0.7999998664886186,1.0986119178032716,0.998232,False
OPRO,24c+32,"38,28",-0.49652261327119557,-0.5446803194792205,-0.01692,True
