area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z,target_seed_fc_z,valid
V1,24c+32,"38,28",0.6487140369801744,0.7730751451355619,0.015773,True
V2,24c+32,"38,28",0.572562392104917,0.6513266667601967,0.039852,True
V4,24c+32,"38,28",-0.49696075029815856,-0.5452619834491772,0.01233,True
1,24c+32,"38,28",-0.23907616836314624,-0.24379404619850137,-0.127009,True
3,24c+32,"38,28",0.6711037354245788,0.8127486053556613,-0.000506,True
MT,24c+32,"38,28",0.29116474162884637,0.299838424334211,0.03625,True
V6,24c+32,"38,28",0.07135075629867478,0.0714722080752912,0.217226,True
DP,24c+32,"38,28",-0.4432798358479067,-0.47630537550839724,-0.259572,True
TEO,24c+32,"38,28",0.13239117130250913,0.1331729009293659,0.072362,True
8m,24c+32,"38,28",-0.38708835701893773,-0.40837066756123525,0.165189,True
F4,24c+32,"38,28",-0.5461963755458981,-0.6129443417839615,0.135711,True
5,24c+32,"38,28",-0.29984448698146504,-0.3093487195354067,-0.164674,True
2,24c+32,"38,28",0.03992297503205808,0.03994420566929893,-0.059867,True
8l,24c+32,"38,28",-0.3265445383932387,-0.33895544249073845,0.064032,True
F1,24c+32,"38,28",-0.00468311050086903,-0.004683144737236269,0.014027,True
STPc,24c+32,"38,28",-0.2153906444433949,-0.21881743223621036,0.021164,True
7A,24c+32,"38,28",0.14038403352156298,0.14131730863127284,-0.022945,True
10,24c+32,"38,28",-0.32945820290985633,-0.3422203670056283,-0.259452,True
F3,24c+32,"38,28",-0.47896065563894785,-0.5216346522225088,0.073127,True
TEpd,24c+32,"38,28",-0.3074962525467709,-0.31777784014114757,0.111161,True
46d,24c+32,"38,28",-0.5934974082739257,-0.6830481013712173,0.036685,True
9/46v,24c+32,"38,28",-0.3648707700411011,-0.3824932696206757,0.097202,True
PBr,24c+32,"38,28",0.9092612264615207,1.5232434479305423,0.00353,True
9/46d,24c+32,"38,28",-0.4405518890741269,-0.472915396931289,0.079916,True
F5,24c+32,"38,28",-0.5325955157573099,-0.5937614882763352,0.149549,True
7m,24c+32,"38,28",-0.48618461932360324,-0.5310517186521062,0.047937,True
25,24c+32,"38,28",0.7421063487227694,0.9551514548711024,0.142877,True
LIP,24c+32,"38,28",-0.41811199005956357,-0.4454018375077411,0.037658,True
32,24c+32,"38,28",0.7836054584066303,1.0546444050580541,0.704386,False
STPi,24c+32,"38,28",0.28814230119817363,0.2965391763273151,0.059489,True
9,24c+32,"38,28",-0.586871654923488,-0.6728807684553173,0.145686,True
45A,24c+32,"38,28",-0.31549635356483297,-0.3266376783550985,-0.163953,True
8B,24c+32,"38,28",-0.06657269685621592,-0.06667130758740038,0.060359,True
7B,24c+32,"38,28",-0.571263893510514,-0.6493970044645929,-0.018539,True
F2,24c+32,"38,28",-0.2563473537853626,-0.26219490595446665,-0.00053,True
F7,24c+32,"38,28",-0.5627469700758515,-0.6368441932967368,-0.103096,True
ProM,24c+32,"38,28",0.2551971161627209,0.2609641529933372,-0.007453,True
STPr,24c+32,"38,28",0.6011226215113665,0.6949031265330858,0.079456,True
24c,24c+32,"38,28",0.41599310585350047,0.4428368088451804,0.998232,False
OPRO,24c+32,"38,28",0.7828347324846142,1.0526506288729913,-0.01692,True
